	0.00334856	0.0000275673
758	0.000248705	0.0000144352
765	0.000246424	0.0000139237
772	0.000244174	0.0000134088
779	0.000241956	0.0000128906
786	0.000239773	0.0000123694
793	0.000237628	0.0000118453
800	0.000235524	0.0000113185
807	0.000233462	0.0000107891
814	0.000231447	0.0000102572
821	0.000229473	0.00000972312
828	0.000227537	0.00000918694
835	0.000225645	0.00000864882
842	0.000223797	0.00000810896
849	0.000221996	0.00000756754
856	0.000220246	0.00000702475
863	0.000218547	0.00000648075
870	0.000216888	0.00000593577
877	0.00021523	0.00000539004
884	0.000213573	0.00000484381
891	0.000211918	0.00000429741
898	0.000210264	0.00000375119
905	0.000208614	0.00000320573
912	0.000206968	0.00000266189
919	0.000205328	0.0000021213
926	0.000203694	0.00000158745
933	0.000202067	0.00000107053
940	0.000200449	0.000000614289
947	0.000198841	0.000000447829
954	0.000197228	0.000000800847
961	0.000195602	0.00000129833
968	0.000193963	0.00000182133
975	0.000192312	0.00000235378
982	0.000190648	0.0000028896
989	0.000188973	0.00000342639
996	0.000187286	0.000003963
1003	0.000185589	0.00000449872
1010	0.000183881	0.00000503306
1017	0.000182163	0.00000556572
1024	0.000180436	0.00000609639
1031	0.0001787	0.00000662481
1038	0.000176955	0.00000715082
1045	0.000175202	0.00000767419
1052	0.000173442	0.00000819474
1059	0.000171674	0.00000871229
1066	0.0001699	0.00000922668
1073	0.000168119	0.00000973773
1080	0.000166332	0.0000102453
1087	0.00016454	0.0000107492
1094	0.000162743	0.0000112493
1101	0.000160942	0.0000117454
1108	0.000159137	0.0000122374
1115	0.000157328	0.0000127251
1122	0.000155516	0.0000132084
1129	0.000153702	0.0000136871
1136	0.000151885	0.0000141611
1143	0.000150067	0.0000146302
1150	0.000148247	0.0000150943
1157	0.000146427	0.0000155533
1164	0.000144607	0.0000160069
1171	0.000142787	0.0000164552
1178	0.000140967	0.0000168979
1185	0.000139148	0.0000173348
1192	0.000137331	0.000017766
1199	0.000135517	0.0000181911
1206	0.000133705	0.0000186102
1213	0.000131895	0.000019023
1220	0.00013009	0.0000194295
1227	0.000128288	0.0000198295
1234	0.00012649	0.0000202229
1241	0.000124697	0.0000206095
1248	0.00012291	0.0000209893
1255	0.00012113	0.0000213621
1262	0.000119354	0.0000217278
1269	0.000117586	0.0000220863
1276	0.000115825	0.0000224375
1283	0.000114071	0.0000227813
1290	0.000112326	0.0000231175
1297	0.000110588	0.0000234461
1304	0.000108861	0.000023767
1311	0.000107142	0.0000240799
1318	0.000105433	0.000024385
1325	0.000103735	0.0000246819
1332	0.000102048	0.0000249707
1339	0.000100372	0.0000252513
1346	0.0000987082	0.0000255236
1353	0.0000970564	0.0000257874
1360	0.0000954174	0.0000260427
1367	0.0000937916	0.0000262893
1374	0.0000921795	0.0000265274
1381	0.0000905815	0.0000267569
1388	0.0000889982	0.0000269772
1395	0.00008743	0.0000271888
1402	0.0000858773	0.0000273915
1409	0.0000843407	0.0000275852
1416	0.0000828205	0.0000277695
1423	0.0000813174	0.0000279448
1430	0.0000798316	0.000028111
1437	0.0000783638	0.0000282677
1444	0.0000769142	0.0000284151
1451	0.0000754836	0.0000285532
1458	0.0000740723	0.0000286818
1465	0.0000726806	0.0000288011
1472	0.0000713093	0.0000289107
1479	0.0000699585	0.0000290109
1486	0.000068629	0.0000291014
1493	0.0000673211	0.0000291821
1500	0.0000660352	0.0000292534
1507	0.000064772	0.0000293151
1514	0.0000635318	0.0000293668
1521	0.000062315	0.000029409
1528	0.0000611221	0.0000294415
1535	0.0000599537	0.0000294642
1542	0.0000588101	0.0000294772
1549	0.0000576918	0.0000294804
1556	0.0000565993	0.0000294739
1563	0.0000555331	0.0000294577
1570	0.0000544934	0.0000294317
1577	0.0000534809	0.0000293959
1584	0.0000524915	0.0000293504
1591	0.0000515148	0.0000292953
1598	0.0000505508	0.0000292305
1605	0.0000495993	0.0000291561
1612	0.0000486606	0.0000290722
1619	0.0000477351	0.0000289787
1626	0.0000468227	0.0000288755
1633	0.0000459236	0.000028763
1640	0.0000450382	0.0000286409
1647	0.0000441664	0.0000285097
1654	0.0000433085	0.0000283689
1661	0.0000424626	0.000028219
1668	0.0000416237	0.0000280597
1675	0.0000407918	0.0000278915
1682	0.0000399669	0.0000277142
1689	0.0000391492	0.0000275279
1696	0.0000383384	0.0000273328
1703	0.0000375347	0.0000271287
1710	0.0000367384	0.000026916
1717	0.0000359492	0.0000266948
1724	0.0000351674	0.000026465
1731	0.0000343927	0.0000262269
1738	0.0000336256	0.0000259804
1745	0.0000328658	0.0000257257
1752	0.0000321135	0.0000254632
1759	0.0000313686	0.0000251927
1766	0.0000306313	0.0000249141
1773	0.0000299016	0.0000246282
1780	0.0000291795	0.0000243347
1787	0.0000284649	0.0000240341
1794	0.0000277582	0.000023726
1801	0.0000270592	0.000023411
1808	0.0000263678	0.0000230891
1815	0.0000256843	0.0000227605
1822	0.0000250086	0.0000224254
1829	0.0000243408	0.0000220839
1836	0.0000236809	0.0000217363
1843	0.0000230288	0.0000213828
1850	0.0000223849	0.0000210235
1857	0.0000217489	0.0000206586
1864	0.0000211209	0.0000202883
1871	0.0000205011	0.000019913
1878	0.0000198893	0.0000195327
1885	0.0000192858	0.0000191478
1892	0.0000186904	0.0000187583
1899	0.0000181033	0.0000183647
1906	0.0000175244	0.0000179672
1913	0.0000169538	0.0000175659
1920	0.0000163915	0.0000171611
1927	0.0000158377	0.0000167532
1934	0.0000152923	0.0000163423
1941	0.0000147553	0.0000159288
1948	0.0000142269	0.000015513
1955	0.0000137069	0.0000150951
1962	0.0000131957	0.0000146753
1969	0.000012693	0.0000142542
1976	0.0000121991	0.0000138318
1983	0.0000117137	0.0000134087
1990	0.0000112373	0.0000129849
1997	0.0000107696	0.000012561
2004	0.0000103108	0.0000121373
2011	0.00000986091	0.000011714
2018	0.00000942001	0.0000112915
2025	0.00000898815	0.0000108703
2032	0.00000856537	0.0000104506
2039	0.00000815174	0.0000100328
2046	0.0000077473	0.00000961734
2053	0.00000735214	0.00000920456
2060	0.00000696629	0.00000879486
2067	0.00000658984	0.00000838862
2074	0.00000622284	0.0000079863
2081	0.00000586536	0.00000758825
2088	0.00000551748	0.00000719494
2095	0.00000517927	0.00000680679
2102	0.0000048508	0.00000642421
2109	0.00000453216	0.00000604766
2116	0.00000422342	0.00000567762
2123	0.00000392466	0.0000053145
2130	0.00000363596	0.00000495878
2137	0.00000335742	0.00000461098
2144	0.00000308913	0.00000427154
2151	0.00000283117	0.00000394094
2158	0.00000258366	0.00000361971
2165	0.00000234668	0.00000330835
2172	0.00000212032	0.00000300736
2179	0.00000190472	0.00000271728
2186	0.00000169997	0.00000243863
2193	0.00000150617	0.00000217195
2200	0.00000132346	0.00000191778
2207	0.00000115193	0.0000016767
2214	0.000000991735	0.00000144926
2221	0.000000842971	0.00000123602
2228	0.000000705785	0.00000103758
2235	0.000000580305	0.000000854524
2242	0.000000466669	0.000000687444
2249	0.000000365017	0.000000536954
2256	0.000000275496	0.000000403665
2263	0.000000198255	0.000000288201
2270	0.000000133446	0.000000191197
2277	0.0000000812289	0.000000113295
2284	0.0000000417651	0.0000000551437
2291	0.0000000152218	0.0000000174044
2298	0.00000000176832	0.000000000589527
2301.6	0	0
