# Isotope  Total Production Rate (events per kton day)
88Y 0.136
90m1Zr 0.093
90Nb 0.095
96Tc 0.059
98Rh 0.076
100Rh 0.234
104Ag 0.16
104m1Ag 0.111
107In 0.135
108In 0.194
109Sn 0.122
110In 0.236
110m1In 0.351
113Sb 0.231
114Sb 0.297
115Sb 0.839
115Te 0.124
116Sb 0.939
117Te 0.594
118Sb 1.288
119I 0.533
120I 0.953
121Xe 0.54
122I 1.965
124I 1.654
124Sb 0.054
125Cs 0.266
126Cs 0.08
128Cs 0.229
130I 1.188
132I 0.427
134I 0.183
